NUMERO,NOME ESAGRAMMA (ITA),TESTO ITA,EXAGRAM NAME (ENG),TESTO ENG,https://www.labirintoermetico.com/09IChing/testo_i_ching/testo_i_ching.htm,http://www2.unipr.it/~deyoung/I_Ching_Wilhelm_Translation.html#1
18,La Correzione del guasto,"Suprema riuscita.Propizio attraversare il grande fiume, tre giorni prima o tre giorni dopo il giorno iniziale.",WORK ON WHAT HAS BEEN SPOILED,"Has supreme success. It furthers one to cross the great water.
Before the starting point, three days.
After the starting point, three days. ",,
19,L'Avvicinamento,"Suprema riuscita. Propizio oracolo. Quando si arriva all'ottavo mese lunare, disastroso",APPROACH,"has supreme success.
Perseverance furthers.
When the eighth month comes,",,
20,La Contemplazione,Si compie l'abluzione ma non il rito sacrificale. Essere sinceri con alto contegno.,CONTEMPLATION," The ablution has been made,
But not yet the offering.
Full of trust they look up to him.",,
21,Il Morso che spezza,Riuscita. Propizio intraprendere una causa legale.,BITING THROUGH ,"has success.
It is favorable to let justice be administered.",,
22,La Bellezza,Riuscita. Moderatamente propizio quando c'è un luogo in cui andare.,GRACE ,"has success.
In small matters
It is favorable to undertake something.",,
23,Lo Sgretolamento,Non è propizio andare in alcun luogo.,SPLITTING APART,"It does not further one
To go anywhere.",,
24,Il Ritorno,Riuscita. Uscire e rientrare senza male. Amici arrivano. Nessuna sfortuna. La stessa è la via dell'andare e del tornare e al settimo giorno viene il ritorno. Propizio quando c'è un luogo in cui andare.,RETURN,"Success.
Going out and coming in without error.
Friends come without blame.
To and fro goes the way.
On the seventh day comes return.
It furthers one to have somewhere to go.",,
25,L'Innocenza,"Suprema riuscita. Propizio oracolo. Se non si è retti, seguirà una disgrazia. Non è propizio andare in alcun luogo.",INNOCENCE,"Supreme success.
Perseverance furthers.
If someone is not as he should be,
He has misfortune,
And it does not further him
To undertake anything.",,
26,La Forza domatrice del grande,Propizio oracolo. Fausto non mangiare a casa. Propizio attraversare il grande fiume.,THE TAMING POWER OF THE GREAT.,"Perseverance furthers. Not eating at home brings good fortune.
It furthers one to cross the great water",,
27,Il Nutrimento,Oracolo fausto. Osserva il nutrimento e presta attenzione a ciò che è nella tua bocca.,THE CORNERS OF THE MOUTH,"Perseverance brings good fortune.
Pay heed to the providing of nourishment
And to what a man seeks",,
28,La Preponderanza del grande,La trave maestra si incurva. Propizio quando c'è un luogo in cui andare. Riuscita.,PREPONDERANCE OF THE GREAT,"The ridgepole sags to the breaking point.
It furthers one to have somewhere to go.

Success.",,
29,L'Abissale,Essere sinceri. Legati saldamente al cuore. Riuscita. Le azioni portano ricompense.,The Abysmal repeated,"If you are sincere, you have success in your heart,
And whatever you do succeeds.",,
30,L'Aderente,Propizio oracolo. Riuscita. Fausto per allevare mucche.,THE CLINGING,"Perseverance furthers.
It brings success.
Care of the cow brings good fortune.",,
31,L'Attrazione,Riuscita. Propizio oracolo per prendere una moglie. Fausto.,INFLUENCE,"Success.
Perseverance furthers.

To take a maiden to wife brings good fortune.",,
32,La Durata,Riuscita. Nessuna sfortuna. Propizio oracolo. Propizio quando c'è un luogo in cui andare.,DURATION,"Success. No blame.
Perseverance furthers.
It furthers one to have somewhere to go.",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
49,,"La Rivoluzione. Nel giorno stabilito, si ottiene sincerità. Suprema riuscita. Propizio oracolo. Il rimpianto svanisce.",,"Revolution. Supreme success,
Furthering through perseverance.
Remorse disappears.",,
50,,Il Crogiolo. Totalmente fausto. Riuscita.,,"The Caldron. Supreme good fortune. 
Success.",,
51,,"L'Eccitante. Riuscita. Il tuono viene: allarme! allarme! Ridere e parlare: ah! ah! Il tuono spaventa per cento miglia, ma non si lasciano cadere il cucchiaio sacrificale e il calice.",,"Shock. Brings success.
Shock comes-oh, oh!
Laughing words -ha, ha!
The shock terrifies for a hundred miles,
And he does not let fall the sacrificial spoon and chalice.",,
52,,L'Arresto. Tenere ferma la propria schiena così da non avvertire più il proprio corpo. Attraversare il proprio cortile dove non si è visti dalla propria gente. Nessuna sfortuna.,,"Keeping Still. Keeping his back still.
So that he no longer feels his body.
He goes into his courtyard
And does not see his people.
No blame.",,
53,,Lo Sviluppo. Fausto per il matrimonio di una ragazza. Propizio oracolo.,,"Development. 
The maiden is given in marriage.
Good fortune.
Perseverance furthers.",,
54,,La Ragazza che si sposa. Per un'impresa: disastroso. Nulla è propizio.,,"The Marrying Maiden.
Undertakings bring misfortune.
Nothing that would further.",,
55,,L'Abbondanza. Riuscita. Il Re la raggiunge. Non rattristarsi. Essere come il sole a mezzogiorno.,,"Abundance has success.
The king attains abundance.
Be not sad.
Be like the sun at midday.",,
56,,Il Viandante. Piccola riuscita. Oracolo per un viandante: fausto.,,"Progress. The powerful prince 
Is honored with horses in large numbers.
In a single day he is granted audience three times.",,
57,,Il Mite. Piccola riuscita. Propizio quando c'è un luogo in cui andare. Propizio vedere un grande uomo.,,"The Gentle. Success through what is small.
It furthers one to have somewhere to go.
It furthers one to see the great man.",,
58,,Il Sereno. Riuscita. Propizio oracolo.,,"The Joyous. Success.
Perseverance is favorable.",,
59,,La Dissoluzione. Riuscita. Il Re si reca al tempio ancestrale. Propizio attraversare il grande fiume. Propizio oracolo.,,"Dispersion. Success.
The king approaches his temple.
It furthers one to cross the great water.
Perseverance furthers.",,
60,,La Delimitazione. Riuscita. Amara delimitazione. L'oracolo non è possibile [che sia favorevole].,,"Limitation. Success.
Galling limitation must not be persevered in.",,
61,,La Verità interiore. Maiali e pesci. Fausto. Propizio attraversare il grande fiume. Propizio oracolo.,,"Inner Truth. Pigs and fishes.
Good fortune.
It furthers one to cross the great water.
Perseverance furthers.",,
62,,"La Preponderanza del piccolo. Riuscita. Propizio oracolo. Va bene fare piccole cose, non va bene fare cose grandi. L'uccello in volo reca un messaggio: Non è appropriato aspirare verso l'alto, è appropriato rimanere in basso. Molto fausto.",,"Preponderance of the Small. Success.
Perseverance furthers.
Small things may be done; great things should not be done.
The flying bird brings the message:
It is not well to strive upward,
It is well to remain below.
Great good fortune.",,
63,,"Dopo il compimento. Riuscita. Propizio oracolo per le piccole cose. Fausto all'inizio, scompiglio alla fine.",,"After Completion. Success in small matters.
Perseverance furthers.
At the beginning good fortune.
At the end disorder.",,
64,,"Prima del compimento. Riuscita. La piccola volpe, quando ha quasi compiuto la traversata, si bagna la coda. Nulla è propizio.",,"Before Completion. Success.
But if the little fox, after nearly completing the crossing,
Gets his tail in the water,
There is nothing that would further.",,
